Source,Indicator,Country,Administrative level,Year,Value ,Category,valuetype
Household Survey Indicators,Early school dropout rate,Bolivia,National,2021,0.160213669,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2021,0.989345099,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2021,0.865494051,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2021,0.520706348,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2021,0.109150869,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2022,0.979338222,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2022,0.814503447,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2022,0.16206742,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2022,0.986133605,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2022,0.848484316,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2022,0.534951296,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2022,0.125570832,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2023,0.975983536,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2023,0.851412837,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2023,0.123923565,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2023,0.988733154,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2023,0.863467028,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2023,0.589383136,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2023,0.10376992,Total,pct
Household Survey Indicators,Completion rate in primary education,Brazil,National,2006,0.779361133,Total,pct
