Pais,Anio,Escolaridad,Relacion_salarial
Argentina,2014,10 a 12 años,82.8
Argentina,2014,13 años y más,83.4
Argentina,2014,6 a 9 años,75.4
Argentina,2014,Total,92.7
Argentina,2016,0 a 5 años,80
Argentina,2016,10 a 12 años,77.4
Argentina,2016,13 años y más,86.5
Argentina,2016,6 a 9 años,72.9
Argentina,2016,Total,92.8
Argentina,2017,0 a 5 años,52.8
Argentina,2017,10 a 12 años,82.6
Argentina,2017,13 años y más,83.3
Argentina,2017,6 a 9 años,75.1
Argentina,2017,Total,91.4
Argentina,2018,0 a 5 años,68.7
Argentina,2018,10 a 12 años,79.2
Argentina,2018,13 años y más,86.8
Argentina,2018,6 a 9 años,79.9
Argentina,2018,Total,92.6
Argentina,2019,0 a 5 años,98.4
Argentina,2019,10 a 12 años,80.8
Argentina,2019,13 años y más,85
Argentina,2019,6 a 9 años,72
Argentina,2019,Total,92.4
Argentina,2020,0 a 5 años,98.9
Argentina,2020,10 a 12 años,75.5
Argentina,2020,13 años y más,79.7
Argentina,2020,6 a 9 años,77.9
Argentina,2020,Total,92.7
Argentina,2021,0 a 5 años,64.7
Argentina,2021,10 a 12 años,85.9
Argentina,2021,13 años y más,76.4
Argentina,2021,6 a 9 años,61.6
Argentina,2021,Total,88.5
Argentina,2022,0 a 5 años,96.4
Argentina,2022,10 a 12 años,80.2
Argentina,2022,13 años y más,83.9
Argentina,2022,6 a 9 años,67.1
Argentina,2022,Total,91.2
Argentina,2023,0 a 5 años,74.4
Argentina,2023,10 a 12 años,83.9
Argentina,2023,13 años y más,86
Argentina,2023,6 a 9 años,66.2
Argentina,2023,Total,93
Argentina,2024,0 a 5 años,57.1
Argentina,2024,10 a 12 años,77.3
Argentina,2024,13 años y más,79.7
Argentina,2024,6 a 9 años,68.3
Argentina,2024,Total,87.5
Bolivia,2000,0 a 5 años,68.1
Bolivia,2000,10 a 12 años,88.3
Bolivia,2000,13 años y más,61
Bolivia,2000,6 a 9 años,54.8
Bolivia,2000,Total,70.5
Bolivia,2001,0 a 5 años,68.4
Bolivia,2001,10 a 12 años,77.4
Brasil,2001,10 a 12 años,63.6
Brasil,2001,13 años y más,61
Brasil,2001,6 a 9 años,62.6
Brasil,2001,Total,75.9
Brasil,2002,0 a 5 años,69.9
Brasil,2002,10 a 12 años,64.4
Brasil,2002,13 años y más,65.6
Brasil,2002,6 a 9 años,63.3
Brasil,2002,Total,78.6
Brasil,2003,0 a 5 años,70.9
Brasil,2003,10 a 12 años,66.2
Brasil,2003,13 años y más,63.7
Brasil,2003,6 a 9 años,63.6
Brasil,2003,Total,78.5
Brasil,2004,0 a 5 años,69.5
Brasil,2004,10 a 12 años,66.9
Brasil,2004,13 años y más,64.4
Brasil,2004,6 a 9 años,64.9
Brasil,2004,Total,77.5
Brasil,2005,0 a 5 años,69.1
Brasil,2005,10 a 12 años,66.7
Brasil,2005,13 años y más,66.3
Brasil,2005,6 a 9 años,66.1
Brasil,2005,Total,79.5
Brasil,2006,0 a 5 años,72.8
Brasil,2006,10 a 12 años,68.4
Brasil,2006,13 años y más,68.1
Brasil,2006,6 a 9 años,67
Brasil,2006,Total,80.6
Brasil,2007,0 a 5 años,72.3
Brasil,2007,10 a 12 años,68.2
Brasil,2007,13 años y más,67.3
Brasil,2007,6 a 9 años,65.8
Brasil,2007,Total,79.3
Brasil,2008,0 a 5 años,70.9
Brasil,2008,10 a 12 años,66.3
Brasil,2008,13 años y más,69.2
Brasil,2008,6 a 9 años,66.2
Brasil,2008,Total,79.5
Brasil,2009,0 a 5 años,73
Brasil,2009,10 a 12 años,68.4
Brasil,2009,13 años y más,66.8
