ref_area.label,source.label,indicator.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2021,20.898,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2021,21.492,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2020,5.646,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2020,19.537,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2020,9.997,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2020,-17.233,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2020,27.373,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2020,26.408,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2020,18.459,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2019,10.461,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2019,20.903,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2019,13.59,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2019,-11.373,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2019,24.766,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2019,27.985,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2019,23.285,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2018,8.919,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
